"h","window","pI","D","fD","Het","RD","Q95","Q90","Qmax","U0","U20","U50","U80"
"hs","87","0.04","0.26","0.08","0","0.09","0.1","0.1","0.09","0","0.02","0.09","0.04"
"hs","88","0.13","0.17","0.08","0","0.1","0.12","0.12","0.13","0.01","0.01","0.05","0.06"
"hs","89","0.13","0.12","0.12","0","0.11","0.14","0.13","0.14","0.01","0.02","0.04","0.07"
"hs","90","0.11","0.18","0.1","0","0.1","0.12","0.12","0.12","0.04","0.03","0.08","0.06"
"hs","91","0.11","0.26","0.11","0","0.12","0.09","0.09","0.09","0.04","0.03","0.1","0.05"
"hs","92","0.11","0.29","0.11","0","0.09","0.09","0.09","0.1","0.04","0.05","0.08","0.05"
"hs","93","0.11","0.25","0.08","0.01","0.1","0.09","0.09","0.1","0.05","0.03","0.09","0.05"
"hs","94","0.1","0.2","0.1","0","0.1","0.11","0.11","0.11","0.05","0.04","0.08","0.05"
"hs","95","0.09","0.21","0.09","0.02","0.11","0.11","0.11","0.1","0.06","0.04","0.08","0.05"
"hs","96","0.1","0.17","0.08","0.01","0.08","0.11","0.11","0.11","0.04","0.05","0.05","0.05"
"hs","97","0.08","0.2","0.07","0.03","0.08","0.08","0.08","0.07","0.06","0.06","0.06","0.05"
"hs","98","0.1","0.27","0.09","0.05","0.08","0.09","0.09","0.09","0.07","0.04","0.09","0.06"
"hs","99","0.1","0.26","0.08","0.03","0.08","0.1","0.09","0.1","0.08","0.06","0.1","0.07"
