"h","window","pI","D","fD","Het","RD","Q95","Q90","Qmax","U0","U20","U50","U80"
"0.005","25","0","0.19","0.05","0.23","0.04","0.04","0.04","0.04","0.04","0.05","0.07","1"
"0.005","26","0","0.17","0.06","0.21","0.03","0.04","0.04","0.04","0.05","0.08","0.07","1"
"0.005","27","0","0.19","0.06","0.2","0.04","0.04","0.04","0.04","0.03","0.05","0.06","1"
"0.005","28","0","0.19","0.05","0.18","0.04","0.04","0.04","0.04","0.06","0.07","0.05","1"
"0.005","29","0","0.22","0.05","0.23","0.04","0.04","0.04","0.04","0.02","0.04","0.03","1"
"0.005","30","0","0.19","0.06","0.2","0.05","0.04","0.04","0.04","0.01","0.05","0.05","1"
"0.005","31","0","0.19","0.05","0.21","0.04","0.04","0.04","0.04","0.04","0.07","0.05","1"
"0.005","32","0","0.19","0.05","0.18","0.04","0.04","0.04","0.04","0.01","0.02","0.06","1"
"0.005","33","0.07","0.15","0.04","0.14","0.03","0.05","0.04","0.04","0.03","0.04","0.06","1"
"0.005","34","0","0.26","0.05","0.11","0.04","0.04","0.04","0.03","0.02","0.04","0.05","1"
"0.005","35","0","0.25","0.03","0.12","0.04","0.04","0.04","0.03","0.02","0.04","0.04","1"
"0.005","36","0","0.24","0.02","0.18","0.04","0.04","0.04","0.03","0.04","0.04","0.05","1"
"0.005","37","0.05","0.12","0.04","0.08","0.05","0.07","0.07","0.08","0.01","0.03","0.06","1"
"0.005","38","0.07","0.23","0.03","0.05","0.04","0.06","0.06","0.06","0.06","0.08","0.05","1"
"0.005","39","0","0.32","0.05","0.04","0.04","0.06","0.06","0.06","0.06","0.07","0.05","1"
"0.005","40","0","0.3","0.05","0.04","0.05","0.06","0.06","0.06","0.09","0.07","0.06","1"
"0.005","41","0","0.31","0.05","0.05","0.05","0.06","0.06","0.06","0.07","0.07","0.05","1"
"0.005","42","0","0.27","0.06","0.05","0.05","0.06","0.06","0.06","0.06","0.08","0.06","1"
"0.005","43","0.07","0.31","0.06","0.07","0.05","0.06","0.06","0.06","0.07","0.1","0.04","1"
"0.005","44","0.08","0.29","0.07","0.03","0.07","0.07","0.07","0.07","0.07","0.11","0.06","1"
"0.005","45","0.08","0.28","0.07","0.04","0.06","0.07","0.07","0.07","0.07","0.1","0.04","1"
"0.005","46","0.08","0.17","0.06","0.02","0.06","0.08","0.07","0.07","0.08","0.07","0.04","1"
"0.005","47","0.08","0.14","0.06","0.04","0.05","0.06","0.06","0.06","0.07","0.08","0.05","1"
"0.005","48","0.08","0.05","0.02","0","0.04","0.07","0.07","0.06","0.01","0.02","0.04","1"
